# Block 19 — Warplanes
su-25	File:Russian Air Force Sukhoi Su-25 Lipetsk Ryabtsev.jpg
su-34	File:Russian Air Force Su-34.jpg
su-35s	File:Russian Air Force Sukhoi Su-35 Belyakov.jpg
su-57	File:Sukhoi Su-57 RF-81775 Army-2022.jpg
mig-31	File:Right side view of a Soviet MiG-31 Foxhound 2.jpg
tu-95ms	File:Tu-95 at an Air show in Voronezh 2014.jpg
tu-160	File:Tupolev Tu-160 overflying Moscow fix.jpg
il-76	File:Ilyushin Il-76 Russian Air Force at Zurich Airport.jpg
mig-29	File:Mikoyan MiG-29 Fulcrum 10 blue (8605744566).jpg
su-27	File:Su-27SM3 in flight, Celebration of the 100th anniversary of Russian Air Force.jpg
su-30sm	File:Sukhoi Su-30SM in flight 2014.jpg
su-33	File:Sukhoi Su-33 at MAKS-2007 airshow.jpg
