# Block 06 — Artillery and Reactive Artillery
d-30	File:122mm howitzer D-30 - Armory masters4.jpg
2a65-msta-b	File:2A65 Msta-B.JPG
2s1-gvozdika	File:2S1 Gvozdika, AHM, 2024-04-28, Left full.jpg
# -2.jpg was a rear-quarter monument shot behind trees; this one is a clean side profile
2s3-akatsiya	File:2S3 Akatsiya 2.jpg
2s19-msta-s	File:2S19 Msta-S PM MWB 03.jpg
2s7-pion	File:2S7 Pion at ARMY-2018.jpg
bm-21-grad	File:Russian BM-21 Grad in Saint Petersburg.JPG
bm-27-uragan	File:BM-27 Uragan Museum of technique.jpg
bm-30-smerch	File:BM-30 Smerch ARMY-2018.jpg
tos-1a	File:TOS-1A ParkPatriot at Army-2016.jpg
2s43-malva	File:2S43 Malva.jpg
2b16-nona-k	File:2B16 gun-howitzer-mortar 3.jpg
