# Block 13 — Engineering Vehicles
imr-3m	File:IMR-3M armoured engineering vehicle at Engineering Technologies 2012.jpg
mt-55	File:MT-55 bridgelayer in Technical museum Togliatti.jpg
brem-1	File:BREM-1 armoured recovery vehicle (1).jpg
gmz-3	File:GMZ-3 minelayer vehicle at Engineering Technologies 2012.jpg
ur-77	File:UR-77 Meteorit being renovated inside Tatarstan military-industrial complex - July 2023 03.jpg
pmp	File:PMP-Pontoon-Bridge-latrun-2.jpg
tmm-3	File:TMM-Bridge-latrun-1.jpg
bat-2	File:БАТ-2 - Финал международного конкурса «Безопасный маршрут» 01.jpg
zemledeliye	File:ISDM Zemledeliye at Army-2022.jpg
pts-4	File:Floating сrawler conveyor PTS-4 during the "Armiya 2021" exhibition (side view).jpg
bmr-3m	File:Engineering Technologies - 2012 (5-38).jpg
eov-3523	File:EOV-3523 excavator on KamAZ-53501 chassis during the "Armiya 2020" exhibition (side view).jpg
mtu-90	File:MTU-90 1.jpg
